@relation ArticularyWordRecognition_channel_7

@attribute channel_7_0 numeric
@attribute channel_7_1 numeric
@attribute channel_7_2 numeric
@attribute channel_7_3 numeric
@attribute channel_7_4 numeric
@attribute channel_7_5 numeric
@attribute channel_7_6 numeric
@attribute channel_7_7 numeric
@attribute channel_7_8 numeric
@attribute channel_7_9 numeric
@attribute channel_7_10 numeric
@attribute channel_7_11 numeric
@attribute channel_7_12 numeric
@attribute channel_7_13 numeric
@attribute channel_7_14 numeric
@attribute channel_7_15 numeric
@attribute channel_7_16 numeric
@attribute channel_7_17 numeric
@attribute channel_7_18 numeric
@attribute channel_7_19 numeric
@attribute channel_7_20 numeric
@attribute channel_7_21 numeric
@attribute channel_7_22 numeric
@attribute channel_7_23 numeric
@attribute channel_7_24 numeric
@attribute channel_7_25 numeric
@attribute channel_7_26 numeric
@attribute channel_7_27 numeric
@attribute channel_7_28 numeric
@attribute channel_7_29 numeric
@attribute channel_7_30 numeric
@attribute channel_7_31 numeric
@attribute channel_7_32 numeric
@attribute channel_7_33 numeric
@attribute channel_7_34 numeric
@attribute channel_7_35 numeric
@attribute channel_7_36 numeric
@attribute channel_7_37 numeric
@attribute channel_7_38 numeric
@attribute channel_7_39 numeric
@attribute channel_7_40 numeric
@attribute channel_7_41 numeric
@attribute channel_7_42 numeric
@attribute channel_7_43 numeric
@attribute channel_7_44 numeric
@attribute channel_7_45 numeric
@attribute channel_7_46 numeric
@attribute channel_7_47 numeric
@attribute channel_7_48 numeric
@attribute channel_7_49 numeric
@attribute channel_7_50 numeric
@attribute channel_7_51 numeric
@attribute channel_7_52 numeric
@attribute channel_7_53 numeric
@attribute channel_7_54 numeric
@attribute channel_7_55 numeric
@attribute channel_7_56 numeric
@attribute channel_7_57 numeric
@attribute channel_7_58 numeric
@attribute channel_7_59 numeric
@attribute channel_7_60 numeric
@attribute channel_7_61 numeric
@attribute channel_7_62 numeric
@attribute channel_7_63 numeric
@attribute channel_7_64 numeric
@attribute channel_7_65 numeric
@attribute channel_7_66 numeric
@attribute channel_7_67 numeric
@attribute channel_7_68 numeric
@attribute channel_7_69 numeric
@attribute channel_7_70 numeric
@attribute channel_7_71 numeric
@attribute channel_7_72 numeric
@attribute channel_7_73 numeric
@attribute channel_7_74 numeric
@attribute channel_7_75 numeric
@attribute channel_7_76 numeric
@attribute channel_7_77 numeric
@attribute channel_7_78 numeric
@attribute channel_7_79 numeric
@attribute channel_7_80 numeric
@attribute channel_7_81 numeric
@attribute channel_7_82 numeric
@attribute channel_7_83 numeric
@attribute channel_7_84 numeric
@attribute channel_7_85 numeric
@attribute channel_7_86 numeric
@attribute channel_7_87 numeric
@attribute channel_7_88 numeric
@attribute channel_7_89 numeric
@attribute channel_7_90 numeric
@attribute channel_7_91 numeric
@attribute channel_7_92 numeric
@attribute channel_7_93 numeric
@attribute channel_7_94 numeric
@attribute channel_7_95 numeric
@attribute channel_7_96 numeric
@attribute channel_7_97 numeric
@attribute channel_7_98 numeric
@attribute channel_7_99 numeric
@attribute channel_7_100 numeric
@attribute channel_7_101 numeric
@attribute channel_7_102 numeric
@attribute channel_7_103 numeric
@attribute channel_7_104 numeric
@attribute channel_7_105 numeric
@attribute channel_7_106 numeric
@attribute channel_7_107 numeric
@attribute channel_7_108 numeric
@attribute channel_7_109 numeric
@attribute channel_7_110 numeric
@attribute channel_7_111 numeric
@attribute channel_7_112 numeric
@attribute channel_7_113 numeric
@attribute channel_7_114 numeric
@attribute channel_7_115 numeric
@attribute channel_7_116 numeric
@attribute channel_7_117 numeric
@attribute channel_7_118 numeric
@attribute channel_7_119 numeric
@attribute channel_7_120 numeric
@attribute channel_7_121 numeric
@attribute channel_7_122 numeric
@attribute channel_7_123 numeric
@attribute channel_7_124 numeric
@attribute channel_7_125 numeric
@attribute channel_7_126 numeric
@attribute channel_7_127 numeric
@attribute channel_7_128 numeric
@attribute channel_7_129 numeric
@attribute channel_7_130 numeric
@attribute channel_7_131 numeric
@attribute channel_7_132 numeric
@attribute channel_7_133 numeric
@attribute channel_7_134 numeric
@attribute channel_7_135 numeric
@attribute channel_7_136 numeric
@attribute channel_7_137 numeric
@attribute channel_7_138 numeric
@attribute channel_7_139 numeric
@attribute channel_7_140 numeric
@attribute channel_7_141 numeric
@attribute channel_7_142 numeric
@attribute channel_7_143 numeric
@attribute classAttribute {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0}

@data
1.137,0.63292,0.63292,0.86721,0.86721,1.0121,1.0121,0.72386,0.72386,1.3805,1.3928,1.3928,1.288,1.288,1.0198,1.0198,1.0121,1.0121,0.64834,0.88571,0.88571,0.93657,0.93657,1.1909,1.1909,0.95199,0.95199,0.9412,0.4757,0.4757,0.99823,0.99823,0.431,0.431,0.75623,0.75623,0.88417,0.75469,0.75469,1.1169,1.1169,1.3774,1.3774,0.84255,0.84255,0.32002,0.83176,0.83176,0.60672,0.60672,0.79168,0.79168,0.21983,0.21983,0.53119,0.46799,0.46799,0.38013,0.38013,0.64063,0.64063,0.51732,0.51732,0.48649,0.3863,0.3863,-0.12698,-0.12698,0.017908,0.017908,0.20442,0.20442,-0.063786,0.34776,0.34776,0.39247,0.39247,0.69612,0.69612,0.1181,0.1181,0.078022,0.15047,0.15047,-0.16706,-0.16706,0.17821,0.17821,0.18284,0.18284,0.23833,-0.35203,-0.35203,-0.25492,-0.25492,-0.13469,-0.13469,-0.22871,-0.22871,-0.24567,-0.3212,-0.3212,-0.54162,-0.54162,-0.78207,-0.78207,-0.48613,-0.48613,-0.50154,-0.82986,-0.82986,-0.62639,-0.62639,-0.705,-0.705,-0.79132,-0.79132,-0.9732,-1.1058,-1.1058,-0.92696,-0.92696,-1.0287,-1.0287,-0.8838,-0.8838,-1.3046,-1.2846,-1.2846,-1.6607,-1.6607,-1.7254,-1.7254,-1.9535,-1.9535,-1.6345,-2.5069,-2.5069,-2.4252,-2.4252,-2.5608,-2.5608,-2.3481,-2.3481,1.0
1.0217,1.1945,1.1945,1.0191,1.0191,1.3988,1.3988,0.77554,0.77554,0.7127,0.7127,1.4093,1.1369,1.1369,0.94314,0.94314,0.005656,0.005656,0.48225,0.48225,0.2649,0.2649,0.40369,0.40369,-0.26407,0.25181,0.25181,0.24134,0.24134,0.53986,0.53986,0.13921,0.13921,-0.3662,-0.3662,0.67342,0.005656,0.005656,0.18111,0.18111,0.18634,0.18634,-0.12528,-0.12528,0.71793,0.71793,-0.52855,-0.52855,-0.12528,0.17587,0.17587,0.57391,0.57391,-0.010056,-0.010056,0.57129,0.57129,1.0715,1.0715,0.72055,0.52415,0.52415,0.60795,0.60795,0.56867,0.56867,0.6289,0.6289,0.21777,0.21777,0.13135,0.13135,-0.08076,0.50844,0.50844,0.79126,0.79126,1.0898,1.0898,1.0505,1.0505,0.93266,0.93266,0.63937,1.2731,1.2731,0.1104,0.1104,0.85934,0.85934,0.43774,0.43774,0.097309,0.097309,-0.2824,-0.2824,-0.028387,0.44297,0.44297,-0.23526,-0.23526,-0.20646,-0.20646,0.058029,0.058029,0.35132,0.35132,-0.28764,0.19944,0.19944,-0.004819,-0.004819,-0.65949,-0.65949,0.20467,0.20467,-0.72495,-0.72495,-0.46309,-0.46309,-1.0942,-0.68567,-0.68567,-1.0104,-1.0104,-1.2304,-1.2304,-1.5813,-1.5813,-1.3691,-1.3691,-1.5498,-1.8169,-1.8169,-2.4323,-2.4323,-2.7047,-2.7047,-2.7518,-2.7518,-2.5554,-2.5554,-2.8513,-2.8513,1.0
0.47587,1.503,1.503,1.6017,1.6017,1.3272,1.3272,0.78122,0.78122,1.3117,1.3117,1.762,1.762,1.5739,1.5739,1.358,1.358,1.5523,2.0982,2.0982,0.58382,0.58382,0.75038,0.75038,1.1914,1.1914,1.1884,1.1884,1.5431,1.5431,0.43269,0.43269,0.97554,0.97554,0.71028,0.71028,-0.002206,0.87684,0.87684,0.75346,0.75346,0.75038,0.75038,1.2871,1.2871,0.67944,0.67944,1.1267,1.1267,0.48821,0.48821,0.90768,0.90768,1.4382,-0.141,-0.141,0.41418,0.41418,0.81823,0.81823,0.19519,0.19519,0.34941,0.34941,0.60541,0.60541,0.20445,0.20445,-0.27671,-0.27671,-0.32298,-0.32298,-0.45561,-0.30447,-0.30447,-1.0571,-1.0571,-0.75479,-0.75479,-0.99229,-0.99229,-0.6345,-0.6345,-0.77638,-0.77638,-0.69002,-0.69002,-0.14717,-0.14717,-0.74245,-0.89667,-0.89667,-0.29522,-0.29522,-0.94602,-0.94602,-1.054,-1.054,-0.92135,-0.92135,-1.5752,-1.5752,-1.0632,-1.0632,-1.1558,-1.1558,-1.9546,-1.9546,-1.1126,-1.6739,-1.6739,-0.56356,-0.56356,-1.0725,-1.0725,-1.0046,-1.0046,-1.4426,-1.4426,-0.7918,-0.7918,-0.49879,-0.49879,-0.7332,-0.7332,-0.23662,-0.4957,-0.4957,-0.80414,-0.80414,-1.0786,-1.0786,-0.51113,-0.51113,-0.28905,-0.28905,-0.81339,-0.81339,-0.52963,-0.52963,-1.236,-1.236,-1.1095,-1.1095,1.0
0.91378,0.62355,0.62355,0.65933,0.65933,1.4386,1.4386,0.058975,0.058975,0.47644,0.65138,0.65138,0.65535,0.65535,0.44861,0.44861,0.63547,0.63547,0.26174,0.69909,0.69909,1.0688,1.0688,1.7129,1.7129,0.6633,0.6633,0.6315,0.39295,0.39295,0.39295,0.39295,0.67523,0.67523,0.93764,0.93764,1.371,1.7487,1.7487,1.7169,1.7169,1.1682,1.1682,1.7328,1.7328,0.60764,1.8004,1.8004,0.42475,0.42475,0.71101,0.71101,1.1404,1.1404,0.96547,0.98535,0.98535,-0.13187,-0.13187,1.212,1.212,-0.36246,-0.36246,0.21006,0.7468,0.7468,1.1603,1.1603,0.71499,0.71499,-0.21536,-0.21536,0.070903,-0.064276,-0.064276,0.50427,0.50427,-0.000663,-0.000663,-0.54535,-0.54535,-0.69246,0.26969,0.26969,-0.5374,-0.5374,-0.85547,-0.85547,-1.3684,-1.3684,-0.37439,-1.5473,-1.5473,0.20211,0.20211,-0.94294,-0.94294,-0.69644,-0.69644,-0.58511,-1.4996,-1.4996,-0.072228,-0.072228,-0.60102,-0.60102,0.007289,0.007289,-0.40222,-0.58909,-0.58909,-0.39825,-0.39825,-1.4002,-1.4002,-0.50957,-0.50957,-0.55331,-1.1815,-1.1815,-1.1696,-1.1696,-1.4002,-1.4002,-1.1656,-1.1656,-2.0283,-1.591,-1.591,-1.8653,-1.8653,-1.3485,-1.3485,-0.79186,-0.79186,-1.09,-1.3445,-1.3445,-1.6904,-1.6904,-0.60102,-0.60102,-1.3644,-1.3644,1.0
-0.14572,-0.46782,-0.46782,0.12953,0.12953,0.6771,0.26423,0.26423,-0.32141,-0.32141,0.55997,0.36964,0.36964,0.079752,0.079752,0.46041,-0.11644,-0.11644,0.82351,0.82351,0.74737,0.74737,0.90842,2.2261,2.2261,1.8659,1.8659,1.5087,0.60975,0.60975,1.3681,1.3681,0.73859,0.085608,0.085608,0.7913,0.7913,0.35793,0.99627,0.99627,0.75323,0.75323,2.0621,2.0621,0.49848,0.68295,0.68295,0.60097,0.60097,0.885,0.68003,0.68003,0.69174,0.69174,0.27008,0.96991,0.96991,0.72102,0.72102,0.57168,0.75909,0.75909,0.22616,0.22616,0.047542,0.047542,0.42528,0.39307,0.39307,0.83522,0.83522,0.032901,0.87329,0.87329,0.88793,0.88793,0.37257,0.62732,0.62732,1.172,1.172,0.35207,0.35207,0.32279,-0.61422,-0.61422,0.92306,0.92306,0.51605,0.13246,0.13246,0.43699,0.43699,-0.74892,-0.0608,-0.0608,-1.4546,-1.4546,-1.0827,-0.54395,-0.54395,-0.62594,-0.62594,-0.75185,-0.75185,-1.1911,-1.6362,-1.6362,-0.83384,-0.83384,-0.42682,-1.1589,-1.1589,-1.3755,-1.3755,-0.54395,-1.2409,-1.2409,-0.49417,-0.49417,-0.33312,-0.73428,-0.73428,-0.80163,-0.80163,-0.93925,-0.93925,-1.4751,-1.5132,-1.5132,-1.2409,-1.2409,-1.6801,-0.70207,-0.70207,-1.2613,-1.2613,-1.5834,-1.2438,-1.2438,-2.2569,-2.2569,-2.743,-2.743,1.0
0.93368,0.93368,0.56884,0.56884,1.1754,1.1754,0.78354,0.78354,1.0148,1.0148,0.86311,0.86311,0.72949,0.72949,0.9622,0.9622,0.76402,0.76402,0.78204,0.78204,0.53281,0.53281,0.98022,0.98022,1.0313,1.0313,0.70397,0.70397,0.81357,0.81357,0.75351,0.75351,0.54032,0.54032,0.59587,0.59587,0.59587,0.84209,0.84209,0.68895,0.68895,0.92767,0.92767,0.7385,0.7385,1.1198,1.1198,0.72048,0.72048,0.78804,0.78804,0.82708,0.82708,0.98923,0.98923,0.77153,0.77153,0.37216,0.37216,0.8451,0.8451,0.5253,0.5253,0.07339,0.07339,0.61388,0.61388,0.43372,0.43372,0.75501,0.75501,0.75501,0.23254,0.23254,0.12294,0.12294,0.12294,0.12294,0.17248,0.17248,-0.17884,-0.17884,0.13945,0.13945,0.20401,0.20401,0.17098,0.17098,0.058376,0.058376,0.026847,0.026847,-0.033207,-0.033207,0.1905,0.1905,-0.093262,-0.093262,-0.078249,-0.078249,-0.4671,-0.4671,-0.47611,-0.47611,-0.28394,-0.28394,-0.30045,-0.30045,-0.30045,-0.58872,-0.58872,-0.44008,-0.44008,-0.51815,-0.51815,-0.69231,-0.69231,-1.0797,-1.0797,-1.1562,-1.1562,-1.2028,-1.2028,-1.3379,-1.3379,-1.5061,-1.5061,-1.6952,-1.6952,-1.8304,-1.8304,-2.0646,-2.0646,-2.2372,-2.2372,-2.3964,-2.3964,-2.0886,-2.0886,-2.3964,-2.3964,-2.2567,-2.2567,-2.2567,1.0
0.74045,0.67131,0.67131,0.69699,0.69699,1.0151,0.90838,0.90838,0.5745,0.5745,0.61204,0.61204,0.69304,0.28606,0.28606,0.79182,0.79182,1.1553,1.1553,0.65353,0.67723,0.67723,0.84319,0.84319,1.021,1.021,0.74638,0.85306,0.85306,0.51524,0.51524,0.75428,0.82343,0.82343,0.35324,0.35324,0.93011,0.93011,0.78787,1.1929,1.1929,0.61402,0.61402,0.93801,0.93801,0.58833,0.7207,0.7207,0.50338,0.50338,0.82541,0.82541,1.019,1.2996,1.2996,0.83726,0.83726,0.90443,0.96567,0.96567,0.57648,0.57648,0.87084,0.87084,0.62784,0.89653,0.89653,0.6318,0.6318,0.8175,0.8175,0.67131,0.40658,0.40658,0.52709,0.52709,0.068748,0.068748,0.27619,0.13789,0.13789,0.10233,0.10233,0.12802,0.12802,-0.10115,0.062822,0.062822,-0.091276,-0.091276,-0.27106,-0.60691,-0.60691,-0.74323,-0.74323,-0.16635,-0.16635,-0.53381,-1.1206,-1.1206,-1.1542,-1.1542,-0.55357,-0.55357,-0.68001,-0.87362,-0.87362,-0.39157,-0.39157,-0.52788,-0.52788,-1.0672,-0.88744,-0.88744,-0.69384,-0.69384,-0.39947,-0.92301,-0.92301,-0.78866,-0.78866,-0.77286,-0.77286,-0.77286,-0.92893,-0.92893,-0.39749,-0.39749,-0.82423,-0.82423,-1.2332,-1.3221,-1.3221,-1.8496,-1.8496,-1.9009,-1.9009,-1.9444,-2.6418,-2.6418,-2.6615,-2.6615,-3.2522,-3.2522,1.0
0.94954,0.72001,0.72001,0.75936,0.75936,0.55168,0.55168,0.63694,0.63694,0.85117,0.91238,0.91238,0.71345,0.71345,0.62601,0.62601,0.88615,0.88615,0.56043,0.56043,0.86429,0.74624,0.74624,0.19318,0.19318,0.82057,0.82057,0.9561,0.9561,1.0501,0.37243,0.37243,0.78122,0.78122,0.88396,0.88396,1.2774,1.2774,0.82057,0.82057,1.1878,0.82494,0.82494,0.80526,0.80526,0.80308,0.80308,1.566,1.566,1.2228,1.2228,0.9867,1.0785,1.0785,0.9714,0.9714,0.6741,0.6741,1.1987,1.1987,0.78778,0.78996,0.78996,1.1069,1.1069,0.50141,0.50141,0.68066,0.68066,0.50141,0.50141,0.91457,0.040153,0.040153,0.28936,0.28936,0.099176,0.099176,0.31778,0.31778,-0.21998,-0.21998,-0.41673,-0.23747,-0.23747,-0.60254,-0.60254,-0.14566,-0.14566,-0.69654,-0.69654,-0.55663,-0.67687,-0.67687,-0.80803,-0.80803,-0.61128,-0.61128,-1.0835,-1.0835,-0.26808,-0.26808,-0.52166,-0.97635,-0.97635,-0.53259,-0.53259,-0.88454,-0.88454,-0.55008,-0.55008,-0.68124,-0.68124,-0.83426,-0.44515,-0.44515,-0.48668,-0.48668,-0.96105,-0.96105,-0.66156,-0.66156,-0.65719,-0.45608,-0.45608,-0.90421,-0.90421,-1.3086,-1.3086,-1.2824,-1.2824,-0.91733,-0.91733,-2.0431,-1.6584,-1.6584,-2.0825,-2.0825,-2.653,-2.653,-2.2923,-2.2923,-2.8869,-2.8869,1.0
1.3713,1.3713,2.1885,2.1885,1.9233,1.9233,0.87176,0.87176,1.1277,1.1277,1.729,1.729,1.6303,1.6303,0.86868,0.86868,1.2911,1.2911,0.51098,0.51098,-0.4141,-0.4141,0.23037,0.23037,0.47706,0.47706,0.3753,0.3753,0.036104,0.036104,0.18412,0.18412,0.733,0.733,0.23037,0.23037,0.23037,0.55723,0.55723,0.64666,0.64666,0.036104,0.036104,-0.56212,-0.56212,-0.38635,-0.38635,-0.77489,-0.77489,-0.38943,-0.38943,0.008351,0.008351,-0.73171,-0.73171,-0.4141,-0.4141,-0.84272,-0.84272,-1.2282,-1.2282,-0.70396,-0.70396,-0.36477,-0.36477,-0.60837,-0.60837,-0.81806,-0.81806,-0.63304,-0.63304,-0.63304,-0.17667,-0.17667,0.24887,0.24887,0.060773,0.060773,-0.50044,-0.50044,-0.61762,-0.61762,-0.70396,-0.70396,-0.07799,-0.07799,-0.93215,-0.93215,-0.49119,-0.49119,0.2057,0.2057,0.63741,0.63741,-0.5837,-0.5837,0.55723,0.55723,0.72067,0.72067,-0.081073,-0.081073,0.66516,0.66516,0.49865,0.49865,1.1585,1.1585,1.1585,0.3383,0.3383,0.59424,0.59424,0.84093,0.84093,1.1277,1.1277,0.082358,0.082358,0.55723,0.55723,1.177,1.177,-0.30309,-0.30309,0.15328,0.15328,-0.58679,-0.58679,-0.14891,-0.14891,-0.55287,-0.55287,-1.2436,-1.2436,-1.6229,-1.6229,-2.1841,-2.1841,-3.2973,-3.2973,-2.7021,-2.7021,-2.7021,1.0
0.28903,0.8117,0.8117,0.88535,0.88535,1.8547,1.8547,1.0326,1.0326,0.6454,0.6454,1.4341,1.4341,0.94474,0.94474,0.50285,0.50285,0.4292,0.4292,0.65728,0.65728,1.7644,1.7644,0.64302,0.64302,0.62877,0.62877,1.1657,1.1657,1.4033,1.4033,1.3415,1.3415,1.6717,1.6717,1.6052,1.6052,1.6052,1.5007,1.5007,1.3557,1.3557,1.4603,1.4603,0.30329,0.30329,0.65252,0.65252,1.2583,1.2583,0.5076,0.5076,0.8022,0.8022,0.54086,0.54086,0.28428,0.28428,0.21063,0.21063,0.28191,0.28191,0.3318,0.3318,-0.23363,-0.23363,0.27003,0.27003,0.46484,0.46484,0.29616,0.29616,-0.019814,0.29141,0.29141,-0.031693,-0.031693,-0.2954,-0.2954,0.14174,0.14174,-0.16474,-0.16474,-0.25264,-0.25264,-1.5498,-1.5498,-0.32391,-0.32391,-0.81332,-0.81332,-1.0248,-1.0248,-0.66364,-0.66364,-1.241,-1.241,-0.63989,-0.63989,-0.68503,-0.68503,-0.79193,-0.79193,-0.53298,-0.53298,-1.0723,-1.0723,-1.0105,-1.0604,-1.0604,-1.5902,-1.5902,-0.51397,-0.51397,-1.0461,-1.0461,-0.72541,-0.72541,-1.3027,-1.3027,-1.0604,-1.0604,-1.0794,-1.0794,-1.1435,-1.1435,-1.6615,-1.6615,-1.298,-1.298,-1.1317,-1.1317,-1.1198,-1.1198,-1.2291,-1.2291,-1.728,-1.728,-1.1507,-1.1507,-0.39281,-0.39281,-1.2576,-1.2576,1.0
